Time,Source,Destination,Protocol,Length
3.376988,10.0.0.11,10.0.0.6,TCP,1514
3.37871,10.0.0.11,10.0.0.6,TCP,2962
3.380628,10.0.0.11,10.0.0.6,TCP,2962
3.383394,10.0.0.11,10.0.0.6,TCP,2962
3.388443,10.0.0.11,10.0.0.6,TCP,4410
3.396017,10.0.0.11,10.0.0.6,TCP,4410
3.402673,10.0.0.11,10.0.0.6,TCP,2962
3.407577,10.0.0.11,10.0.0.6,TCP,2962
3.412331,10.0.0.11,10.0.0.6,TCP,2962
3.415791,10.0.0.2,10.0.0.6,TCP,2962
3.417279,10.0.0.11,10.0.0.6,TCP,4410
3.420629,10.0.0.2,10.0.0.6,TCP,2962
3.42446,10.0.0.11,10.0.0.6,TCP,4410
3.427081,10.0.0.1,10.0.0.6,TCP,65226
3.481468,10.0.0.11,10.0.0.6,TCP,4410
3.48506,10.0.0.11,10.0.0.6,TCP,4410
3.488642,10.0.0.11,10.0.0.6,TCP,2962
3.491221,10.0.0.11,10.0.0.6,TCP,1514
3.492238,10.0.0.11,10.0.0.6,TCP,2962
3.494681,10.0.0.11,10.0.0.6,TCP,1514
3.495894,10.0.0.11,10.0.0.6,TCP,2962
3.498443,10.0.0.11,10.0.0.6,TCP,2962
3.503302,10.0.0.11,10.0.0.6,TCP,2962
3.508132,10.0.0.11,10.0.0.6,TCP,4410
3.515955,10.0.0.11,10.0.0.6,TCP,4410
3.522739,10.0.0.11,10.0.0.6,TCP,4410
3.52994,10.0.0.11,10.0.0.6,TCP,4410
3.534487,10.0.0.1,10.0.0.6,TCP,65226
3.587996,10.0.0.11,10.0.0.6,TCP,4410
3.591759,10.0.0.11,10.0.0.6,TCP,1514
3.592576,10.0.0.11,10.0.0.6,TCP,4410
3.596205,10.0.0.11,10.0.0.6,TCP,4410
3.60287,10.0.0.11,10.0.0.6,TCP,2962
3.60741,10.0.0.11,10.0.0.6,TCP,1514
3.60989,10.0.0.11,10.0.0.6,TCP,2962
3.615051,10.0.0.11,10.0.0.6,TCP,2962
3.619572,10.0.0.11,10.0.0.6,TCP,4410
3.626935,10.0.0.11,10.0.0.6,TCP,4410
3.634078,10.0.0.11,10.0.0.6,TCP,4410
3.641722,10.0.0.11,10.0.0.6,TCP,4410
3.644172,10.0.0.2,10.0.0.6,TCP,2962
3.648334,10.0.0.2,10.0.0.6,TCP,2962
3.649501,10.0.0.11,10.0.0.6,TCP,4410
3.653178,10.0.0.1,10.0.0.6,TCP,65226
3.707629,10.0.0.11,10.0.0.6,TCP,4410
3.711276,10.0.0.11,10.0.0.6,TCP,4410
3.715252,10.0.0.11,10.0.0.6,TCP,4410
3.71882,10.0.0.11,10.0.0.6,TCP,2962
3.720962,10.0.0.11,10.0.0.6,TCP,1514
3.722439,10.0.0.11,10.0.0.6,TCP,2962
3.724572,10.0.0.11,10.0.0.6,TCP,2962
3.729653,10.0.0.11,10.0.0.6,TCP,2962
3.73431,10.0.0.11,10.0.0.6,TCP,2962
3.739151,10.0.0.11,10.0.0.6,TCP,2962
3.744001,10.0.0.11,10.0.0.6,TCP,2962
3.748806,10.0.0.11,10.0.0.6,TCP,4410
3.756085,10.0.0.11,10.0.0.6,TCP,4410
3.762195,10.0.0.1,10.0.0.6,TCP,65226
3.815556,10.0.0.11,10.0.0.6,TCP,4410
3.81906,10.0.0.11,10.0.0.6,TCP,4410
3.822703,10.0.0.11,10.0.0.6,TCP,4410
3.826341,10.0.0.11,10.0.0.6,TCP,2962
3.828745,10.0.0.11,10.0.0.6,TCP,1514
3.829965,10.0.0.11,10.0.0.6,TCP,2962
3.832495,10.0.0.11,10.0.0.6,TCP,2962
3.837344,10.0.0.11,10.0.0.6,TCP,2962
3.842227,10.0.0.11,10.0.0.6,TCP,2962
3.847068,10.0.0.11,10.0.0.6,TCP,2962
3.851873,10.0.0.11,10.0.0.6,TCP,2962
3.856732,10.0.0.11,10.0.0.6,TCP,4410
3.864012,10.0.0.11,10.0.0.6,TCP,4410
3.871231,10.0.0.2,10.0.0.6,TCP,2962
3.87239,10.0.0.11,10.0.0.6,TCP,1514
