Time,Source,Destination,Protocol,Length
85.929299,10.0.0.5,10.0.0.6,TCP,1057
62.786894,10.0.0.5,10.0.0.6,TCP,1057
53.5078,10.0.0.5,10.0.0.6,TCP,1057
75.33508,10.0.0.5,10.0.0.6,TCP,1057
81.613868,10.0.0.3,10.0.0.6,IPv4,1514
96.357049,10.0.0.5,10.0.0.6,TCP,1057
13.433902,10.0.0.5,10.0.0.6,TCP,1057
47.255756,10.0.0.5,10.0.0.6,TCP,1057
70.846004,10.0.0.5,10.0.0.6,TCP,1057
55.954898,10.0.0.3,10.0.0.6,IPv4,1514
32.18867,10.0.0.5,10.0.0.6,TCP,1057
12.413423,10.0.0.5,10.0.0.6,TCP,1057
76.82573,10.0.0.5,10.0.0.6,TCP,1057
43.762623,10.0.0.5,10.0.0.6,TCP,1057
61.05178,10.0.0.3,10.0.0.6,IPv4,1514
50.174813,10.0.0.5,10.0.0.6,TCP,1057
59.137152,10.0.0.5,10.0.0.6,TCP,1057
54.701216,10.0.0.5,10.0.0.6,TCP,1057
11.097102,10.0.0.3,10.0.0.6,TCP,1514
9.096929,10.0.0.3,10.0.0.6,TCP,1514
89.274251,10.0.0.5,10.0.0.6,TCP,1057
4.479616,10.0.0.5,10.0.0.6,TCP,1057
35.573256,10.0.0.5,10.0.0.6,TCP,1057
105.403543,10.0.0.5,10.0.0.6,TCP,1057
21.818847,10.0.0.5,10.0.0.6,TCP,1057
108.115377,10.0.0.5,10.0.0.6,TCP,1057
29.427312,10.0.0.5,10.0.0.6,TCP,1057
6.931312,10.0.0.3,10.0.0.6,IPv4,1514
60.173894,10.0.0.5,10.0.0.6,TCP,1057
12.783508,10.0.0.5,10.0.0.6,TCP,1057
53.97652,10.0.0.3,10.0.0.6,IPv4,1514
108.733737,10.0.0.5,10.0.0.6,TCP,1057
98.65566,10.0.0.5,10.0.0.6,TCP,1057
16.424286,10.0.0.5,10.0.0.6,TCP,1057
102.738177,10.0.0.5,10.0.0.6,TCP,1057
80.484513,10.0.0.3,10.0.0.6,IPv4,1514
29.554647,10.0.0.3,10.0.0.6,IPv4,1514
18.877503,10.0.0.5,10.0.0.6,TCP,1057
58.400585,10.0.0.5,10.0.0.6,TCP,1057
47.453005,10.0.0.3,10.0.0.6,IPv4,1514
97.967479,10.0.0.5,10.0.0.6,TCP,1057
106.342068,10.0.0.5,10.0.0.6,TCP,1057
68.467005,10.0.0.3,10.0.0.6,IPv4,1514
37.555186,10.0.0.4,10.0.0.6,TCP,954
66.203199,10.0.0.3,10.0.0.6,IPv4,1514
44.471341,10.0.0.5,10.0.0.6,TCP,1057
41.152268,10.0.0.3,10.0.0.6,IPv4,1514
50.61662,10.0.0.4,10.0.0.6,TCP,954
30.504785,10.0.0.3,10.0.0.6,IPv4,1514
32.314733,10.0.0.3,10.0.0.6,IPv4,1514
45.141748,10.0.0.5,10.0.0.6,TCP,1057
86.034307,10.0.0.5,10.0.0.6,TCP,1057
76.173682,10.0.0.5,10.0.0.6,TCP,1057
51.849955,10.0.0.3,10.0.0.6,IPv4,1514
45.005243,10.0.0.3,10.0.0.6,IPv4,1514
99.366443,10.0.0.5,10.0.0.6,TCP,1057
36.696942,10.0.0.5,10.0.0.6,TCP,1057
20.373744,10.0.0.5,10.0.0.6,TCP,1057
96.74819,10.0.0.5,10.0.0.6,TCP,1057
75.897001,10.0.0.3,10.0.0.6,IPv4,1514
73.808726,10.0.0.5,10.0.0.6,TCP,1057
21.686552,10.0.0.3,10.0.0.6,IPv4,1514
102.520594,10.0.0.5,10.0.0.6,TCP,1057
59.114996,10.0.0.5,10.0.0.6,TCP,1057
58.168203,10.0.0.5,10.0.0.6,TCP,1057
37.070716,10.0.0.5,10.0.0.6,TCP,1057
42.370897,10.0.0.5,10.0.0.6,TCP,1057
2.834132,10.0.0.5,10.0.0.6,TCP,1057
29.171149,10.0.0.5,10.0.0.6,TCP,1057
74.495107,10.0.0.3,10.0.0.6,IPv4,1514
