Time,Source,Destination,Protocol,Length
0.125977,10.0.0.3,10.0.0.6,IPv4,1514
0.127027,10.0.0.3,10.0.0.6,IPv4,1514
0.128084,10.0.0.5,10.0.0.6,TCP,1057
0.129036,10.0.0.5,10.0.0.6,TCP,1057
0.129705,10.0.0.3,10.0.0.6,IPv4,1514
0.131318,10.0.0.5,10.0.0.6,TCP,1057
0.131793,10.0.0.5,10.0.0.6,TCP,1057
0.132868,10.0.0.5,10.0.0.6,TCP,1057
0.133841,10.0.0.3,10.0.0.6,IPv4,1514
0.134962,10.0.0.5,10.0.0.6,TCP,1057
0.135582,10.0.0.5,10.0.0.6,TCP,1057
0.136415,10.0.0.5,10.0.0.6,TCP,1057
0.137626,10.0.0.3,10.0.0.6,IPv4,1514
0.138545,10.0.0.5,10.0.0.6,TCP,1057
0.139793,10.0.0.5,10.0.0.6,TCP,1057
0.140153,10.0.0.5,10.0.0.6,TCP,1057
0.141316,10.0.0.3,10.0.0.6,IPv4,1514
0.142383,10.0.0.5,10.0.0.6,TCP,1057
0.143498,10.0.0.5,10.0.0.6,TCP,1057
0.143986,10.0.0.5,10.0.0.6,TCP,1057
0.145061,10.0.0.3,10.0.0.6,IPv4,1514
0.146013,10.0.0.5,10.0.0.6,TCP,1057
0.14714,10.0.0.5,10.0.0.6,TCP,1057
0.14767,10.0.0.5,10.0.0.6,TCP,1057
0.148723,10.0.0.3,10.0.0.6,IPv4,1514
0.149794,10.0.0.5,10.0.0.6,TCP,1057
0.15084,10.0.0.5,10.0.0.6,TCP,1057
0.151438,10.0.0.5,10.0.0.6,TCP,1057
0.152461,10.0.0.3,10.0.0.6,IPv4,1514
0.153383,10.0.0.5,10.0.0.6,TCP,1057
0.154553,10.0.0.5,10.0.0.6,TCP,1057
0.155081,10.0.0.5,10.0.0.6,TCP,1057
0.156153,10.0.0.3,10.0.0.6,IPv4,1514
0.157199,10.0.0.3,10.0.0.6,IPv4,1514
0.158779,10.0.0.5,10.0.0.6,TCP,1057
0.159371,10.0.0.5,10.0.0.6,TCP,1057
0.160299,10.0.0.3,10.0.0.6,IPv4,1514
0.161452,10.0.0.5,10.0.0.6,TCP,1057
0.162491,10.0.0.5,10.0.0.6,TCP,1057
0.163015,10.0.0.5,10.0.0.6,TCP,1057
0.164073,10.0.0.5,10.0.0.6,TCP,1057
0.164657,10.0.0.3,10.0.0.6,IPv4,1514
0.166194,10.0.0.5,10.0.0.6,TCP,1057
0.166727,10.0.0.5,10.0.0.6,TCP,1057
0.167925,10.0.0.5,10.0.0.6,TCP,1057
0.16886,10.0.0.3,10.0.0.6,IPv4,1514
0.169901,10.0.0.5,10.0.0.6,TCP,1057
0.170952,10.0.0.5,10.0.0.6,TCP,1057
0.17153,10.0.0.3,10.0.0.6,IPv4,1514
0.172534,10.0.0.5,10.0.0.6,TCP,1057
0.173609,10.0.0.5,10.0.0.6,TCP,1057
0.174677,10.0.0.5,10.0.0.6,TCP,1057
0.175187,10.0.0.3,10.0.0.6,IPv4,1514
0.176289,10.0.0.5,10.0.0.6,TCP,1057
0.177191,10.0.0.5,10.0.0.6,TCP,1057
0.178373,10.0.0.5,10.0.0.6,TCP,1057
0.178901,10.0.0.3,10.0.0.6,IPv4,1514
0.18048,10.0.0.5,10.0.0.6,TCP,1057
0.181017,10.0.0.5,10.0.0.6,TCP,1057
0.182075,10.0.0.5,10.0.0.6,TCP,1057
0.182609,10.0.0.3,10.0.0.6,IPv4,1514
0.184201,10.0.0.5,10.0.0.6,TCP,1057
0.18472,10.0.0.5,10.0.0.6,TCP,1057
0.185781,10.0.0.3,10.0.0.6,IPv4,1514
0.186862,10.0.0.3,10.0.0.6,TCP,574
0.187425,10.0.0.3,10.0.0.6,IPv4,1514
0.188429,10.0.0.3,10.0.0.6,IPv4,1514
0.189524,10.0.0.3,10.0.0.6,IPv4,1514
0.191103,10.0.0.3,10.0.0.6,IPv4,1514
0.19221,10.0.0.3,10.0.0.6,IPv4,1514
0.193223,10.0.0.3,10.0.0.6,IPv4,1514
0.194807,10.0.0.3,10.0.0.6,IPv4,1514
0.195597,10.0.0.3,10.0.0.6,IPv4,1514
0.19693,10.0.0.3,10.0.0.6,IPv4,1514
0.198509,10.0.0.3,10.0.0.6,IPv4,1514
0.199642,10.0.0.3,10.0.0.6,IPv4,1514
0.201044,10.0.0.3,10.0.0.6,IPv4,1514
0.201707,10.0.0.3,10.0.0.6,IPv4,1514
0.203347,10.0.0.3,10.0.0.6,IPv4,1514
0.204353,10.0.0.3,10.0.0.6,IPv4,1514
0.206042,10.0.0.3,10.0.0.6,IPv4,1514
0.206495,10.0.0.3,10.0.0.6,IPv4,1514
0.208098,10.0.0.3,10.0.0.6,IPv4,1514
0.209162,10.0.0.3,10.0.0.6,IPv4,1514
0.210236,10.0.0.5,10.0.0.6,TCP,1057
0.211346,10.0.0.5,10.0.0.6,TCP,1057
0.211825,10.0.0.3,10.0.0.6,IPv4,1514
0.213419,10.0.0.5,10.0.0.6,TCP,1057
0.213944,10.0.0.5,10.0.0.6,TCP,1057
0.214992,10.0.0.5,10.0.0.6,TCP,1057
0.215591,10.0.0.3,10.0.0.6,IPv4,1514
0.217114,10.0.0.5,10.0.0.6,TCP,1057
0.217662,10.0.0.5,10.0.0.6,TCP,1057
0.218706,10.0.0.5,10.0.0.6,TCP,1057
0.219986,10.0.0.3,10.0.0.6,IPv4,1514
0.220837,10.0.0.5,10.0.0.6,TCP,1057
0.221363,10.0.0.5,10.0.0.6,TCP,1057
0.222416,10.0.0.5,10.0.0.6,TCP,1057
0.223533,10.0.0.3,10.0.0.6,IPv4,1514
0.224572,10.0.0.5,10.0.0.6,TCP,1057
0.225487,10.0.0.5,10.0.0.6,TCP,1057
0.225966,10.0.0.5,10.0.0.6,TCP,1057
0.227189,10.0.0.3,10.0.0.6,IPv4,1514
0.22824,10.0.0.5,10.0.0.6,TCP,1057
0.229292,10.0.0.5,10.0.0.6,TCP,1057
0.229728,10.0.0.5,10.0.0.6,TCP,1057
0.230873,10.0.0.3,10.0.0.6,IPv4,1514
0.231942,10.0.0.5,10.0.0.6,TCP,1057
0.233005,10.0.0.5,10.0.0.6,TCP,1057
0.23357,10.0.0.3,10.0.0.6,IPv4,1514
0.23511,10.0.0.5,10.0.0.6,TCP,1057
0.235689,10.0.0.5,10.0.0.6,TCP,1057
0.236417,10.0.0.5,10.0.0.6,TCP,1057
0.237247,10.0.0.3,10.0.0.6,IPv4,1514
0.238846,10.0.0.5,10.0.0.6,TCP,1057
0.239547,10.0.0.5,10.0.0.6,TCP,1057
0.240438,10.0.0.5,10.0.0.6,TCP,1057
0.24096,10.0.0.3,10.0.0.6,IPv4,1514
0.242548,10.0.0.5,10.0.0.6,TCP,1057
0.243085,10.0.0.5,10.0.0.6,TCP,1057
0.244139,10.0.0.5,10.0.0.6,TCP,1057
0.245204,10.0.0.3,10.0.0.6,IPv4,1514
0.246267,10.0.0.5,10.0.0.6,TCP,1057
0.246783,10.0.0.5,10.0.0.6,TCP,1057
0.247851,10.0.0.5,10.0.0.6,TCP,1057
0.248894,10.0.0.3,10.0.0.6,IPv4,1514
0.249947,10.0.0.5,10.0.0.6,TCP,1057
0.251004,10.0.0.5,10.0.0.6,TCP,1057
0.251583,10.0.0.5,10.0.0.6,TCP,1057
0.252599,10.0.0.3,10.0.0.6,IPv4,1514
0.25366,10.0.0.5,10.0.0.6,TCP,1057
0.254762,10.0.0.5,10.0.0.6,TCP,1057
0.255174,10.0.0.5,10.0.0.6,TCP,1057
0.256327,10.0.0.3,10.0.0.6,IPv4,1514
0.257367,10.0.0.5,10.0.0.6,TCP,1057
0.258425,10.0.0.5,10.0.0.6,TCP,1057
0.258948,10.0.0.3,10.0.0.6,IPv4,1514
0.261072,10.0.0.5,10.0.0.6,TCP,1057
0.261074,10.0.0.5,10.0.0.6,TCP,1057
0.262117,10.0.0.5,10.0.0.6,TCP,1057
0.262645,10.0.0.3,10.0.0.6,IPv4,1514
0.26423,10.0.0.5,10.0.0.6,TCP,1057
0.264756,10.0.0.5,10.0.0.6,TCP,1057
0.265803,10.0.0.5,10.0.0.6,TCP,1057
0.266853,10.0.0.3,10.0.0.6,IPv4,1514
0.267912,10.0.0.5,10.0.0.6,TCP,1057
0.268437,10.0.0.5,10.0.0.6,TCP,1057
0.269553,10.0.0.5,10.0.0.6,TCP,1057
0.270546,10.0.0.3,10.0.0.6,IPv4,1514
0.271638,10.0.0.3,10.0.0.6,IPv4,1514
0.272651,10.0.0.3,10.0.0.6,IPv4,1514
0.274228,10.0.0.3,10.0.0.6,IPv4,1514
0.27532,10.0.0.3,10.0.0.6,IPv4,1514
0.276349,10.0.0.3,10.0.0.6,IPv4,1514
0.278091,10.0.0.3,10.0.0.6,IPv4,1514
0.278968,10.0.0.3,10.0.0.6,IPv4,1514
0.28003,10.0.0.3,10.0.0.6,IPv4,1514
0.281074,10.0.0.3,10.0.0.6,IPv4,1514
0.282642,10.0.0.3,10.0.0.6,IPv4,1514
0.283748,10.0.0.3,10.0.0.6,IPv4,1514
0.284811,10.0.0.3,10.0.0.6,IPv4,1514
0.286324,10.0.0.3,10.0.0.6,TCP,574
0.286327,10.0.0.3,10.0.0.6,IPv4,1514
0.287907,10.0.0.3,10.0.0.6,IPv4,1514
0.288952,10.0.0.3,10.0.0.6,IPv4,1514
0.290002,10.0.0.3,10.0.0.6,IPv4,1514
0.291653,10.0.0.3,10.0.0.6,IPv4,1514
0.29264,10.0.0.3,10.0.0.6,IPv4,1514
0.29369,10.0.0.3,10.0.0.6,IPv4,1514
0.295325,10.0.0.5,10.0.0.6,TCP,1057
0.295674,10.0.0.5,10.0.0.6,TCP,1057
0.296864,10.0.0.3,10.0.0.6,IPv4,1514
0.297918,10.0.0.5,10.0.0.6,TCP,1057
0.298898,10.0.0.5,10.0.0.6,TCP,1057
0.299562,10.0.0.5,10.0.0.6,TCP,1057
0.300549,10.0.0.3,10.0.0.6,IPv4,1514
0.301621,10.0.0.5,10.0.0.6,TCP,1057
0.302649,10.0.0.5,10.0.0.6,TCP,1057
0.30318,10.0.0.5,10.0.0.6,TCP,1057
0.304239,10.0.0.3,10.0.0.6,IPv4,1514
0.305289,10.0.0.5,10.0.0.6,TCP,1057
0.306342,10.0.0.5,10.0.0.6,TCP,1057
0.306869,10.0.0.5,10.0.0.6,TCP,1057
0.307938,10.0.0.5,10.0.0.6,TCP,1057
0.308995,10.0.0.3,10.0.0.6,IPv4,1514
0.310058,10.0.0.5,10.0.0.6,TCP,1057
0.311078,10.0.0.5,10.0.0.6,TCP,1057
