Time,Source,Destination,Protocol,Length,Label
37.484441,10.0.0.4,10.0.0.6,TCP,954,1
37.506073,10.0.0.5,10.0.0.6,TCP,1057,1
37.555186,10.0.0.4,10.0.0.6,TCP,954,1
37.724864,10.0.0.3,10.0.0.6,IPv4,1514,1
37.913944,10.0.0.5,10.0.0.6,TCP,1057,1
37.986913,10.0.0.5,10.0.0.6,TCP,1057,1
38.551145,10.0.0.5,10.0.0.6,TCP,1057,1
38.843185,10.0.0.5,10.0.0.6,TCP,1057,1
38.951949,10.0.0.3,10.0.0.6,IPv4,1514,1
38.997288,10.0.0.5,10.0.0.6,TCP,1057,1
39.069092,10.0.0.3,10.0.0.6,IPv4,1514,1
39.159389,10.0.0.5,10.0.0.6,TCP,1057,1
39.53127,10.0.0.5,10.0.0.6,TCP,1057,1
40.735399,10.0.0.5,10.0.0.6,TCP,1057,1
40.975877,10.0.0.5,10.0.0.6,TCP,1057,1
41.152268,10.0.0.3,10.0.0.6,IPv4,1514,1
41.548363,10.0.0.3,10.0.0.6,IPv4,1514,1
42.03907,10.0.0.3,10.0.0.6,IPv4,1514,1
42.370897,10.0.0.5,10.0.0.6,TCP,1057,1
42.3999,10.0.0.5,10.0.0.6,TCP,1057,1
43.762623,10.0.0.5,10.0.0.6,TCP,1057,1
43.850954,10.0.0.3,10.0.0.6,IPv4,1514,1
43.927913,10.0.0.3,10.0.0.6,IPv4,1514,1
43.929503,10.0.0.5,10.0.0.6,TCP,1057,1
44.039719,10.0.0.3,10.0.0.6,IPv4,1514,1
44.471341,10.0.0.5,10.0.0.6,TCP,1057,1
44.660464,10.0.0.3,10.0.0.6,IPv4,1514,1
45.005243,10.0.0.3,10.0.0.6,IPv4,1514,1
45.141748,10.0.0.5,10.0.0.6,TCP,1057,1
45.544888,10.0.0.5,10.0.0.6,TCP,1057,1
45.647196,10.0.0.3,10.0.0.6,IPv4,1514,1
46.959078,10.0.0.5,10.0.0.6,TCP,1057,1
47.255756,10.0.0.5,10.0.0.6,TCP,1057,1
47.453005,10.0.0.3,10.0.0.6,IPv4,1514,1
47.549967,10.0.0.3,10.0.0.6,IPv4,1514,1
48.035828,10.0.0.3,10.0.0.6,IPv4,1514,1
48.685652,10.0.0.3,10.0.0.6,IPv4,1514,1
49.45309,10.0.0.5,10.0.0.6,TCP,1057,1
50.174813,10.0.0.5,10.0.0.6,TCP,1057,1
50.308516,10.0.0.3,10.0.0.6,IPv4,1514,1
50.380559,10.0.0.3,10.0.0.6,IPv4,1514,1
50.398827,10.0.0.5,10.0.0.6,TCP,1057,1
50.61662,10.0.0.4,10.0.0.6,TCP,954,1
50.617829,10.0.0.4,10.0.0.6,TCP,954,1
50.729717,10.0.0.3,10.0.0.6,IPv4,1514,1
50.945444,10.0.0.5,10.0.0.6,TCP,1057,1
51.849955,10.0.0.3,10.0.0.6,IPv4,1514,1
51.916735,10.0.0.3,10.0.0.6,IPv4,1514,1
53.5078,10.0.0.5,10.0.0.6,TCP,1057,1
53.97652,10.0.0.3,10.0.0.6,IPv4,1514,1
54.068326,10.0.0.5,10.0.0.6,TCP,1057,1
54.51838,10.0.0.3,10.0.0.6,IPv4,1514,1
54.557382,10.0.0.5,10.0.0.6,TCP,1057,1
54.701216,10.0.0.5,10.0.0.6,TCP,1057,1
55.149871,10.0.0.3,10.0.0.6,IPv4,1514,1
55.822018,10.0.0.3,10.0.0.6,IPv4,1514,1
55.901155,10.0.0.5,10.0.0.6,TCP,1057,1
55.954898,10.0.0.3,10.0.0.6,IPv4,1514,1
56.13857,10.0.0.5,10.0.0.6,TCP,1057,1
57.826132,10.0.0.3,10.0.0.6,IPv4,1514,1
58.168203,10.0.0.5,10.0.0.6,TCP,1057,1
58.400585,10.0.0.5,10.0.0.6,TCP,1057,1
