Time,Source,Destination,Protocol,Length
153.362399,10.0.0.6,10.0.0.2,TCP,54
153.371261,10.0.0.2,10.0.0.6,TCP,574
153.371307,10.0.0.6,10.0.0.2,TCP,54
153.372063,10.0.0.2,10.0.0.6,TCP,574
153.372074,10.0.0.6,10.0.0.2,TCP,54
153.375387,10.0.0.2,10.0.0.6,TCP,574
153.375396,10.0.0.6,10.0.0.2,TCP,54
153.378727,10.0.0.2,10.0.0.6,TCP,574
153.378735,10.0.0.6,10.0.0.2,TCP,54
153.382091,10.0.0.2,10.0.0.6,TCP,574
153.382115,10.0.0.6,10.0.0.2,TCP,54
153.389986,10.0.0.2,10.0.0.6,TCP,574
153.390034,10.0.0.6,10.0.0.2,TCP,54
153.39139,10.0.0.2,10.0.0.6,TCP,574
153.391404,10.0.0.6,10.0.0.2,TCP,54
153.394705,10.0.0.2,10.0.0.6,TCP,574
153.394714,10.0.0.6,10.0.0.2,TCP,54
153.399209,10.0.0.2,10.0.0.6,TCP,574
153.399251,10.0.0.6,10.0.0.2,TCP,54
153.413802,10.0.0.2,10.0.0.6,TCP,574
153.413846,10.0.0.6,10.0.0.2,TCP,54
153.414867,10.0.0.2,10.0.0.6,TCP,574
153.414875,10.0.0.6,10.0.0.2,TCP,54
153.418211,10.0.0.2,10.0.0.6,TCP,574
153.41822,10.0.0.6,10.0.0.2,TCP,54
153.421557,10.0.0.2,10.0.0.6,TCP,574
153.42157,10.0.0.6,10.0.0.2,TCP,54
153.424894,10.0.0.2,10.0.0.6,TCP,574
153.424903,10.0.0.6,10.0.0.2,TCP,54
153.428234,10.0.0.2,10.0.0.6,TCP,574
153.428241,10.0.0.6,10.0.0.2,TCP,54
153.434726,10.0.0.2,10.0.0.6,TCP,574
153.434742,10.0.0.6,10.0.0.2,TCP,54
153.435571,10.0.0.2,10.0.0.6,TCP,574
153.435578,10.0.0.6,10.0.0.2,TCP,54
153.438912,10.0.0.2,10.0.0.6,TCP,574
153.43892,10.0.0.6,10.0.0.2,TCP,54
153.442255,10.0.0.2,10.0.0.6,TCP,574
153.442262,10.0.0.6,10.0.0.2,TCP,54
153.451767,10.0.0.2,10.0.0.6,TCP,574
153.451811,10.0.0.6,10.0.0.2,TCP,54
153.453924,10.0.0.2,10.0.0.6,TCP,574
153.453966,10.0.0.6,10.0.0.2,TCP,54
153.458972,10.0.0.2,10.0.0.6,TCP,574
153.459019,10.0.0.6,10.0.0.2,TCP,54
153.459767,10.0.0.2,10.0.0.6,TCP,574
153.459779,10.0.0.6,10.0.0.2,TCP,54
